OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-NC,USGS North Carolina Water Science Center,USGS-0209330990,"BROOKS LAKE TRIB NR BROWNS SUMMIT, NC",Stream,,03030002,0.06,sq mi,,,36.2279128,-79.721975,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,081,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0209331325,"CANDY CR AT SR2700 NR MONTICELLO, NC",Stream,,03030002,1.1,sq mi,,,36.2340238,-79.6616956,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,081,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0209437825,"SMITH BRANCH UPPER TRIB NR MONTICELLO, NC",Stream,,03030002,0.0075,sq mi,,,36.2159683,-79.6603065,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,081,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0209437850,"SMITH BRANCH LOWER TRIB NR MONTICELLO, NC",Stream,,03030002,0.0116,sq mi,,,36.2131905,-79.6614176,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,081,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02096842,"CANE CREEK UPSTREAM SR1126 NR BUCKHORN, NC",Stream,,03030002,0.64,sq mi,,,36.0259733,-79.1747366,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,135,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02096846,"CANE CREEK NEAR ORANGE GROVE, NC",Stream,,03030002,7.54,sq mi,,,35.9872222,-79.2061111,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,507.69,feet,.16,feet,Differentially corrected Global Positioning System.,NAVD88,US,37,135,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0209684980,"CANE CR RESERVOIR AT DAM NR WHITE CROSS, NC","Lake, Reservoir, Impoundment",,03030002,31.4,sq mi,,,35.95,-79.2411111,,1,seconds,Reported.,NAD83,,,,,,,US,37,135,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02096960,"HAW RIVER NEAR BYNUM, NC",Stream,,03030002,1275,sq mi,,,35.7652778,-79.1358333,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,283.31,feet,.01,feet,Reported method of determination.,NGVD29,US,37,037,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0209699999,"B. EVERETT JORDAN LAKE, HAW R ARM NR HANKS CHAPEL","Lake, Reservoir, Impoundment",,03030002,1303,sq mi,,,35.7052778,-79.0844444,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,37,037,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02097314,"NEW HOPE CREEK NEAR BLANDS, NC",Stream,,03030002,75.9,sq mi,,,35.885,-78.9652778,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,214.37,feet,.07,feet,Differentially corrected Global Positioning System.,NAVD88,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0209741955,"NORTHEAST CREEK AT SR1100 NR GENLEE, NC",Stream,,03030002,21.1,sq mi,,,35.8722222,-78.9130556,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,229.01,feet,.01,feet,Level or other surveyed method.,NGVD29,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02097464,"MORGAN CREEK NEAR WHITE CROSS, NC",Stream,,03030002,8.35,sq mi,,,35.9236111,-79.115,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,410.13,feet,.30,feet,Differentially corrected Global Positioning System.,NAVD88,US,37,135,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0209749990,"UNIVERSITY LAKE AT INTAKES NR CHAPEL HILL, NC","Lake, Reservoir, Impoundment",,03030002,30,sq mi,,,35.8969444,-79.0922222,,1,seconds,Reported.,NAD83,,,,,,,US,37,135,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02097517,"MORGAN CREEK NEAR CHAPEL HILL, NC",Stream,,03030002,41,sq mi,,,35.8933333,-79.0197222,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,238.2,feet,.05,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,37,135,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0209768310,"JORDAN LAKE AT BUOY 12 AT FARRINGTON, NC","Lake, Reservoir, Impoundment",,03030002,,,,,35.7988889,-79.0058333,,1,seconds,Reported.,NAD83,,,,,,,US,37,037,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0209771550,"JORDAN LAKE AT BUOY 9 NEAR FARRINGTON, NC","Lake, Reservoir, Impoundment",,03030002,250,sq mi,,,35.7751486,-79.0269548,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,037,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0209781125,"JORDAN LAKE NEAR BUOY 8 NEAR BELLS, NC","Lake, Reservoir, Impoundment",,03030002,256.1,sq mi,,,35.7519444,-79.0291667,24000,1,seconds,Interpolated from Digital MAP.,NAD83,216,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,37,037,,,,,,,,,NWIS
