"MonitoringLocationIdentifier","OrganizationIdentifier.x","MonitoringLocationName","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","OrganizationIdentifier.y","ActivityStartDate","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasure.MeasureUnitCode","DetectionQuantitationLimitTypeName","DetectionQuantitationLimitMeasure.MeasureValue","DetectionQuantitationLimitMeasure.MeasureUnitCode","TotalN","Year","Month","Date"
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2007-02-13","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",0.94,"mg/l","",NA,"",0.94,2007,2,2007-02-13
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","1989-09-12","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",4.9,"mg/l NO3","",NA,"",1.10691,1989,9,1989-09-12
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","1988-10-25","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",1.1,"mg/l","",NA,"",1.1,1988,10,1988-10-25
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","1989-11-16","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",2.7,"mg/l NO3","",NA,"",0.60993,1989,11,1989-11-16
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","1988-11-21","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",1.2,"mg/l","",NA,"",1.2,1988,11,1988-11-21
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2003-04-14","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",0.63,"mg/l","",NA,"",0.63,2003,4,2003-04-14
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2011-06-01","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",1.1,"mg/l","",NA,"",1.1,2011,6,2011-06-01
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2011-03-03","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",0.78,"mg/l","",NA,"",0.78,2011,3,2011-03-03
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2007-08-20","Not Detected","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",NA,"","Historical Lower Reporting Limit",0.71,"mg/l",0.355,2007,8,2007-08-20
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2016-10-28","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",0.96,"mg/l","",NA,"",0.96,2016,10,2016-10-28
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2013-01-29","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",1.4,"mg/l","",NA,"",1.4,2013,1,2013-01-29
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2015-08-19","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",0.37,"mg/l","",NA,"",0.37,2015,8,2015-08-19
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","1989-06-28","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",1.5,"mg/l","",NA,"",1.5,1989,6,1989-06-28
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2013-12-11","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",1.3,"mg/l","",NA,"",1.3,2013,12,2013-12-11
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","1989-05-23","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",1,"mg/l","",NA,"",1,1989,5,1989-05-23
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","1989-12-12","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",6.6,"mg/l NO3","",NA,"",1.49094,1989,12,1989-12-12
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2012-08-21","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",0.65,"mg/l","",NA,"",0.65,2012,8,2012-08-21
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","1989-09-12","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",1.1,"mg/l","",NA,"",1.1,1989,9,1989-09-12
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2014-10-23","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",1,"mg/l","",NA,"",1,2014,10,2014-10-23
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","1994-01-26","Not Detected","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",NA,"","Historical Lower Reporting Limit",1.2,"mg/l",0.6,1994,1,1994-01-26
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","2003-12-09","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",0.61,"mg/l","",NA,"",0.61,2003,12,2003-12-09
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","1989-08-23","","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",5.8,"mg/l NO3","",NA,"",1.31022,1989,8,1989-08-23
"USGS-02096846","USGS-NC","CANE CREEK NEAR ORANGE GROVE, NC",7.54,"sq mi",35.9872222,-79.2061111,"USGS-NC","1995-02-09","Not Detected","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total",NA,"","Historical Lower Reporting Limit",1.2,"mg/l",0.6,1995,2,1995-02-09
